consumer_tax_level;consumer;type;resource;resource_tax_level;reference;;;
family;Myxochloridaceae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Myxochloridaceae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Myxochloridaceae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Myxochloridaceae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Myxochloridaceae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Myxochloridaceae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
species;Neobodo designis;eats;Archaea;regnum;;;;
genus;Neopsilenchus;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
family;Nucleariidae;eats;Apusomonadidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Cercomonadidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Chlamydophryidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Echinamoebidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Euglyphidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Hartmannellidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Heteromitidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Paulinellidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Sphenoderiidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Stemonitidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Thaumatomastigidae;family;;pred2 assoc au substrat;;
family;Nucleariidae;eats;Trinematidae;family;;pred2 assoc au substrat;;
genus;Nygolaimus;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Nygolaimus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Nygolaimus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Nygolaimus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Nygolaimus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
species;Obertrumia georgiana;eats;Archaea;regnum;;;;
family;Ochromonadaceae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Ochromonadaceae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Ochromonadaceae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Ochromonadaceae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Ochromonadaceae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Ochromonadaceae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
phylum;Ochrophyta;eats;Light;NA;;;;
genus;Odontolaimus;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Odontolaimus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Odontolaimus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Odontolaimus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Odontolaimus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
class;Oligohymenophorea;eats;Bacteria;regnum;;pred1 intercepteur;;
class;Oligohymenophorea;eats;Archaea;regnum;;pred1 intercepteur;;
class;Oligohymenophorea;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
class;Oligohymenophorea;eats;Ochrophyta;regnum;;pred1 intercepteur;;
class;Oligohymenophorea;eats;Chlorophyta;regnum;;pred1 intercepteur;;
class;Oligohymenophorea;eats;Euglenozoa;regnum;;pred1 intercepteur;;
species;Orbicula parietina;eats;Decaying_wood;NA;Funguild;;;
genus;Orbilia;eats;Soil Organic Matter;NA;;;;
genus;Panaeolus;eats;Soil Organic Matter;NA;Funguild;;;
genus;Panagrolaimus;eats;Archaea;regnum;NEMAGuild;;;
genus;Panagrolaimus;eats;Bacteria;regnum;NEMAGuild;;;
species;Panorbis viscosus;eats;Soil Organic Matter;NA;;;;
family;Paulinellidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Paulinellidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Paulinellidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Paulinellidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Paulinellidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Paulinellidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
genus;Penicillium;eats;Soil Organic Matter;NA;;;;
species;Peniophorella praetermissa;eats;Soil Organic Matter;NA;;;;
genus;Phaeosphaeria;eats;Soil Organic Matter;NA;;;;
species;Pholiota squarrosa;eats;Soil Organic Matter;NA;;;;
species;Piptocephalis graefenhanii;eats;Soil Organic Matter;NA;;;;
genus;Plectus;eats;Archaea;regnum;NEMAGuild;;;
genus;Plectus;eats;Bacteria;regnum;NEMAGuild;;;
species;Pluteus petasatus;eats;Soil Organic Matter;NA;;;;
species;Pluteus phlebophorus;eats;Soil Organic Matter;NA;;;;
genus;Porpoloma;eats;Soil Organic Matter;NA;;;;
genus;Preussia;eats;Soil Organic Matter;NA;;;;
genus;Prismatolaimus;eats;Archaea;regnum;NEMAGuild;;;
genus;Prismatolaimus;eats;Bacteria;regnum;NEMAGuild;;;
species;Proceropycnis pinicola;eats;Soil Organic Matter;NA;;;;
genus;Prodesmodora;eats;Archaea;regnum;NEMAGuild;;;
genus;Prodesmodora;eats;Bacteria;regnum;NEMAGuild;;;
genus;Prodorylaimus;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Archaea;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Bacteria;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Chlorophyta;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Fungi;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Prodorylaimus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Psathyrella;eats;Decaying_wood;NA;Funguild;;;
genus;Pseudaphelenchus;eats;Fungi;regnum;NEMAGuild;;;
species;Pseudoplatyophrya nana;eats;Fungi;regnum;;;;
genus;Psora;eats;Soil Organic Matter;NA;;;;
species;Pterula echo;eats;Soil Organic Matter;NA;;;;
genus;Pungentus;eats;Angiosperma;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Archaea;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Bacteria;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Chlorophyta;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Fungi;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Pungentus;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Pyrenochaeta;eats;Soil Organic Matter;NA;;;;
species;Pyxidiophora arvernensis;eats;Soil Organic Matter;NA;;;;
species;Ramariopsis kunzei;eats;Soil Organic Matter;NA;;;;
genus;Rhabditis;eats;Archaea;regnum;NEMAGuild;;;
genus;Rhabditis;eats;Bacteria;regnum;NEMAGuild;;;
genus;Rhabdolaimus;eats;Archaea;regnum;NEMAGuild;;;
genus;Rhabdolaimus;eats;Bacteria;regnum;NEMAGuild;;;
species;Rhizophlyctis harderi;eats;Soil Organic Matter;NA;;;;
species;Rhizophlyctis rosea;eats;Soil Organic Matter;NA;;;;
genus;Rhizophydium;eats;Soil Organic Matter;NA;;;;
species;Rhizophydium patellarium;eats;Soil Organic Matter;NA;;;;
species;Saccharomyces cerevisiae;eats;Soil Organic Matter;NA;;;;
species;Saccobolus dilutellus;eats;Soil Organic Matter;NA;Funguild;;;
family;Salpingoecidae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Salpingoecidae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Salpingoecidae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Salpingoecidae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Salpingoecidae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Salpingoecidae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
family;Scarabaeidae;eats;Soil Organic Matter;NA;;;;
genus;Sclerostagonospora;eats;Soil Organic Matter;NA;;;;
genus;Scytinostroma;eats;Soil Organic Matter;NA;;;;
genus;Seinura;eats;Fungi;regnum;NEMAGuild;;;
species;Serpula incrassata;eats;Decaying_wood;NA;Funguild;;;
family;Siluaniidae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Siluaniidae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Siluaniidae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Siluaniidae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Siluaniidae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Siluaniidae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
species;Sphaerobolus stellatus;eats;Soil Organic Matter;NA;;;;
family;Sphenoderiidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Sphenoderiidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Sphenoderiidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Sphenoderiidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Sphenoderiidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Sphenoderiidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
class;Spirotrichea;eats;Apusomonadidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Cercomonadidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Chlamydophryidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Echinamoebidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Euglyphidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Hartmannellidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Heteromitidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Paulinellidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Sphenoderiidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Stemonitidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Thaumatomastigidae;family;;pred2 assoc au substrat;;
class;Spirotrichea;eats;Trinematidae;family;;pred2 assoc au substrat;;
genus;Spizellomyces;eats;Soil Organic Matter;NA;;;;
genus;Sporobolomyces;eats;Soil Organic Matter;NA;;;;
family;Stemonitidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Stemonitidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Stemonitidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Stemonitidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Stemonitidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Stemonitidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
family;Stephanoecidae;eats;Bacteria;regnum;;pred1 intercepteur;;
family;Stephanoecidae;eats;Archaea;regnum;;pred1 intercepteur;;
family;Stephanoecidae;eats;Bacillariophyta;regnum;;pred1 intercepteur;;
family;Stephanoecidae;eats;Ochrophyta;regnum;;pred1 intercepteur;;
family;Stephanoecidae;eats;Chlorophyta;regnum;;pred1 intercepteur;;
family;Stephanoecidae;eats;Euglenozoa;regnum;;pred1 intercepteur;;
species;Stephensia shanorii;eats;Soil Organic Matter;NA;;;;
species;Stereum ostrea;eats;Soil Organic Matter;NA;;;;
species;Stilbocrea macrostoma;eats;Soil Organic Matter;NA;;;;
species;Syncephalis depressa;eats;Soil Organic Matter;NA;;;;
species;Syncephalis fuscata;eats;Soil Organic Matter;NA;;;;
genus;Talaromyces;eats;Soil Organic Matter;NA;;;;
genus;Teratocephalus;eats;Archaea;regnum;NEMAGuild;;;
genus;Teratocephalus;eats;Bacteria;regnum;NEMAGuild;;;
family;Thaumatomastigidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Thaumatomastigidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Thaumatomastigidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Thaumatomastigidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Thaumatomastigidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Thaumatomastigidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
species;Thecotheus holmskjoldii;eats;Soil Organic Matter;NA;Funguild;;;
species;Trechispora farinacea;eats;Decaying_wood;NA;Funguild;;;
family;Trinematidae;eats;Bacteria;regnum;;pred1 assoc au substrat;;
family;Trinematidae;eats;Archaea;regnum;;pred1 assoc au substrat;;
family;Trinematidae;eats;Bacillariophyta;regnum;;pred1 assoc au substrat;;
family;Trinematidae;eats;Ochrophyta;regnum;;pred1 assoc au substrat;;
family;Trinematidae;eats;Chlorophyta;regnum;;pred1 assoc au substrat;;
family;Trinematidae;eats;Euglenozoa;regnum;;pred1 assoc au substrat;;
genus;Tripyla;eats;Chromista;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Tripyla;eats;Enchytraeidae;family;NEMAGuild;PMCID: PMC2619405;;
genus;Tripyla;eats;Nematoda;phylum;NEMAGuild;PMCID: PMC2619405;;
genus;Tripyla;eats;Protozoa;regnum;NEMAGuild;PMCID: PMC2619405;;
genus;Tripyla;eats;Rotifera;phylum;NEMAGuild;PMCID: PMC2619405;;
species;Tubeufia helicomyces;eats;Soil Organic Matter;NA;;;;
genus;Tylencholaimus;eats;Fungi;regnum;NEMAGuild;;;
genus;Tyrophagus;eats;Fungi;regnum;;;;
family;Vampyrellidae;eats;Apusomonadidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Cercomonadidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Chlamydophryidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Echinamoebidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Euglyphidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Hartmannellidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Heteromitidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Paulinellidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Sphenoderiidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Stemonitidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Thaumatomastigidae;family;;pred2 assoc au substrat;;
family;Vampyrellidae;eats;Trinematidae;family;;pred2 assoc au substrat;;
family;Viridiraptoridae;eats;Bacillariophyta;phylum;;;;
family;Viridiraptoridae;eats;Euglenozoa;phylum;;;;
family;Viridiraptoridae;eats;Chlorophyta;phylum;;;;
family;Viridiraptoridae;eats;Ochrophyta;phylum;;;;
genus;Yarrowia;eats;Soil Organic Matter;NA;;;;
genus;Uropoda;eats;Fungi;regnum;;;;
genus;Uropoda;eats;Diptera;order;;;;
genus;Uropoda;eats;Enchytraeidae;family;;;;
genus;Barynotus;eats;Ranunculaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Barynotus;eats;Euphorbiaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Barynotus;eats;Rosaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Barynotus;eats;Fabaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Barynotus;eats;Primulaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Barynotus;eats;Plantaginaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Barynotus;eats;Violaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
species;Myzus persicae;eats;Angiosperma;phylum;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Noctua;eats;Angiosperma;phylum;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Otiorhynchus;eats;Angiosperma;phylum;https://www.brc.ac.uk/DBIF/invertebrates.aspx;GloBi;;
genus;Pemphigus;eats;Asteraceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Pemphigus;eats;Salicaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Rhopalosiphum padi;eats;Poaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Sitona lineatus;eats;Fabaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
family;Chthoniidae;eats;Nematoda;phylum;;;;
family;Chthoniidae;eats;Collembola;class;;;;
family;Chthoniidae;eats;Astigmata;order;;;;
family;Chthoniidae;eats;Endeostigmata;order;;;;
family;Chthoniidae;eats;Mesostigmata;order;;;;
family;Chthoniidae;eats;Oribatida;order;;;;
family;Chthoniidae;eats;Trombidiformes;order;;;;
family;Chthoniidae;eats;Enchytraeidae;family;;;;
family;Enchytraeidae;eats;Soil Organic Matter;NA;;;;
genus;Agriotes;eats;Poaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Agriotes;eats;Fabaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Agriotes;eats;Chenopodiaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Agriotes;eats;Solanaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Agriotes;eats;Brassicaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Agriotes;eats;Asteraceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Agriotes;eats;Liliaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Poaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Chenopodiaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Brassicaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Asteraceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Liliaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Rosaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Athous;eats;Solanaceae;family;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Notiophilus;eats;Collembola;class;betsi;;;
genus;Notiophilus;eats;Astigmata;order;betsi;;;
genus;Notiophilus;eats;Endeostigmata;order;betsi;;;
genus;Notiophilus;eats;Mesostigmata;order;betsi;;;
genus;Notiophilus;eats;Oribatida;order;betsi;;;
genus;Notiophilus;eats;Trombidiformes;order;betsi;;;
genus;Notiophilus;eats;Enchytraeidae;family;betsi;;;
genus;Notiophilus;eats;Diptera;order;betsi;;;
genus;Notiophilus;eats;Araneae;class;betsi;;;
genus;Trechus;eats;Diptera;order;betsi;;;
genus;Trechus;eats;Lepidoptera;order;betsi;;;
genus;Trechus;eats;Scarabaeidae;family;betsi;;;
genus;Trechus;eats;Collembola;class;betsi;;;
genus;Lithobius;eats;Diptera;order;Lewis (2006) The biology of centipedes;;;
genus;Lithobius;eats;Lepidoptera;order;Lewis (2006) The biology of centipedes;;;
genus;Lithobius;eats;Lumbricidae;family;Lewis (2006) The biology of centipedes;;;
genus;Lithobius;eats;Collembola;class;Lewis (2006) The biology of centipedes;>4 mm;;
genus;Lithobius;eats;Araneae;class;Lewis (2006) The biology of centipedes;;;
genus;Lithobius;eats;Enchytraeidae;family;Lewis (2006) The biology of centipedes;;;
genus;Lithobius;eats;Diplura;class;Lewis (2006) The biology of centipedes;;;
family;Theridiidae;eats;Diptera;order;;;;
family;Theridiidae;eats;Lepidoptera;order;;;;
family;Theridiidae;eats;Lumbricidae;family;;;;
family;Theridiidae;eats;Collembola;class;;;;
family;Theridiidae;eats;Araneae;class;;;;
family;Theridiidae;eats;Enchytraeidae;family;;;;
genus;Tipula;eats;Soil Organic Matter;NA;;;;
order;Oribatida;eats;Soil Organic Matter;NA;;;;
order;Endeostigmata;eats;Nematoda;phylum;;;;
order;Endeostigmata;eats;Enchytraeidae;family;;;;
order;Endeostigmata;eats;Collembola;class;;;;
order;Endeostigmata;eats;Astigmata;order;;;;
order;Endeostigmata;eats;Endeostigmata;order;;;;
order;Endeostigmata;eats;Mesostigmata;order;;;;
order;Endeostigmata;eats;Oribatida;order;;;;
order;Astigmata;eats;Nematoda;phylum;;;;
order;Astigmata;eats;Enchytraeidae;family;;;;
order;Astigmata;eats;Collembola;class;;;;
order;Astigmata;eats;Astigmata;order;;;;
order;Astigmata;eats;Endeostigmata;order;;;;
order;Astigmata;eats;Mesostigmata;order;;;;
order;Astigmata;eats;Oribatida;order;;;;
species;Aulacorthum solani;eats;Angiosperma;phylum;https://www.brc.ac.uk/DBIF/invertebrates.aspx;;;
genus;Pythium;eats;Angiosperma;phylum;GLoBi;;;
class;Diplopoda;eats;Soil Organic Matter;NA;;;;
class;Diplura;eats;Soil Organic Matter;NA;;;;
genus;Forficula;eats;Bryophyta;phylum;albouy & Caussanel (1990) Faune de France 75.;;;
genus;Forficula;eats;Fungi;regnum;albouy & Caussanel (1990) Faune de France 75.;;;
genus;Forficula;eats;Chlorophyta;phylum;albouy & Caussanel (1990) Faune de France 75.;;;
genus;Forficula;eats;Angiosperma;phylum;albouy & Caussanel (1990) Faune de France 75.;;;
genus;Forficula;eats;Aphididae;family;albouy & Caussanel (1990) Faune de France 75.;;;
genus;Forficula;eats;Diptera;order;albouy & Caussanel (1990) Faune de France 75.;;;
genus;Forficula;eats;Lepidoptera;order;;;;
genus;Forficula;eats;Araneae;order;;;;
genus;Forficula;eats;Astigmata;order;;;;
genus;Forficula;eats;Endeostigmata;order;;;;
genus;Forficula;eats;Mesostigmata;order;;;;
genus;Forficula;eats;Oribatida;order;;;;
;Tachyporus hypnorum;eats;;;;;;
;;eats;Diplopoda;;;;;
;;eats;Tachyporus hypnorum;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;Bradysia subrufescens;;;;
;;;;Peyerimhoffia alpina;;;;
