"";"retained_tax";"class";"fam";"codeFW"
"682";"Pterula echo";7;"Pterulaceae";"Saprotroph::Fungi"
"683";"Pungentus";10;"Nordiidae";"Non.selective::Nematode"
"684";"Pungentus sp. PDL-2005";10;"Nordiidae";"Non.selective::Nematode"
"685";"Pyrenochaeta sp. GMG_PPb7";7;"Cucurbitariaceae";"Saprotroph::Fungi"
"686";"Pythium";3;"Pythiaceae";"Parasitic::Pythium"
"687";"Pythium monospermum";5;"Pythiaceae";"Pathogen::Pythium_m"
"688";"Pythium rostratifingens";3;"Pythiaceae";"Pathogen::Pythium"
"689";"Pyxidiophora arvernensis";7;"Pyxidiophoraceae";"Saprotroph::Fungi"
"690";"Ralstonia solanacearum";17;"Burkholderiaceae";"Decomposers::Bacterie"
"691";"Ralstonia sp. JOS55-1";17;"Burkholderiaceae";"Decomposers::Bacterie"
"692";"Ramariopsis kunzei";7;"Clavariaceae";"Saprotroph::Fungi"
"693";"Ranunculus";2;"Ranunculaceae";"Phototroph::Ranunculales"
"694";"Rathayibacter";17;"Microbacteriaceae";"Decomposers::Bacterie"
"695";"Resource::Decaying_wood";9;"Resource::Decaying_wood";"Resource::Decaying_wood"
"696";"Resource::Dung";16;"Resource::Dung";"Resource::Dung"
"697";"Resource::Litter";16;"Resource::Litter";"Resource::Litter"
"698";"Resource::MOS";16;"Resource::MOS";"Resource::MOS"
"699";"Rhabditis";16;"Rhabditidae";"Bacterivorous::Nematode"
"700";"Rhabdolaimus";16;"Rhabdolaimidae";"Bacterivorous::Nematode"
"701";"Rheum";2;"Polygonaceae";"Phototroph::Polygonaceae"
"702";"Rhizobium";17;"Rhizobiaceae";"Decomposers::Bacterie"
"703";"Rhizoctonia solani";24;"Ceratobasidiaceae";"Parasitic::Rhizoctonia_s"
"704";"Rhizoglyphus";15;"Acaridae";"Parasitic::Rhizoglyphus"
"705";"Rhizomicrobium";17;"Micropepsaceae";"Decomposers::Bacterie"
"706";"Rhizomicrobium sp. URHE0053";17;"Micropepsaceae";"Decomposers::Bacterie"
"707";"Rhizophagus";24;"Glomeraceae";"ACM::Glomeromyc"
"708";"Rhizophagus intraradices";24;"Glomeraceae";"ACM::Glomeromyc"
"709";"Rhizophlyctis harderi";7;"Rhizophlyctidaceae";"Saprotroph::Fungi"
"710";"Rhizophlyctis rosea";7;"Rhizophlyctidaceae";"Saprotroph::Fungi"
"711";"Rhizophydium";24;"Rhizophydiaceae";"Parasitic::Rhizophydium"
"712";"Rhizophydium patellarium";7;"Rhizophydiaceae";"Saprotroph::Fungi"
"713";"Rhizophydium planktonicum";24;"Rhizophydiaceae";"Parasitic::Rhizophydium_p"
"714";"Rhizophydium sp. JEL136";7;"Rhizophydiaceae";"Saprotroph::Fungi"
"715";"Rhizophydium sp. UGA-F16";7;"Rhizophydiaceae";"Saprotroph::Fungi"
"716";"Rhodanobacter";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"717";"Rhodanobacter sp. D47";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"718";"Rhodococcus";17;"Nocardiaceae";"Decomposers::Bacterie"
"719";"Rhodoferax";17;"Comamonadaceae";"Decomposers::Bacterie"
"720";"Rhodomicrobium";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"721";"Rhodopila globiformis";17;"Acetobacteraceae";"Decomposers::Bacterie"
"722";"Rhodoplanes";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"723";"Rhodoplanes sp. Z2-YC6860";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"724";"Rhogostoma";20;"Chlamydophryidae";"Pred1attach::Protist"
"725";"Rhogostoma schuessleri";20;"Chlamydophryidae";"Pred1attach::Protist"
"726";"Rhogostoma sp. CCAP 1966/4";20;"Chlamydophryidae";"Pred1attach::Protist"
"727";"Rhopalosiphum padi";15;"Aphididae";"Phytophage::Rhopalosiphum"
"728";"Rickettsiella";17;"Coxiellaceae";"Opportunists::Bacterie"
"729";"Robertus neglectus";15;"Theridiidae";"Pred4::Robertus"
"730";"Romanomermis sichuanensis";26;"Mermithidae";"Parasitic::Romanomermis"
"731";"Roseiarcus fermentans";17;"Roseiarcaceae";"Decomposers::Bacterie"
"732";"Rotylenchulus borealis";3;"Hoplolaimidae";"Parasitic_p::Nematode"
"733";"Rotylenchulus reniformis";3;"Hoplolaimidae";"Parasitic_p::Nematode"
"734";"Rotylenchus vitis";3;"Hoplolaimidae";"Parasitic_p::Nematode"
"735";"Rudaea cellulosilytica";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"736";"Rudaea sp. URHD0100";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"737";"Rumex";2;"Polygonaceae";"Phototroph::Polygonaceae"
"738";"Saccamoeba";20;"Hartmannellidae";"Pred1attach::Protist"
"739";"Saccharomyces cerevisiae";7;"Saccharomycetaceae";"Saprotroph::Fungi"
"740";"Saccobolus dilutellus";7;"Ascobolaceae";"Coprotroph::Ascomycota"
"741";"Salinibacterium sp. CC13L1";17;"Microbacteriaceae";"Decomposers::Bacterie"
"742";"Salvia nemorosa";2;"Lamiaceae";"Phototroph::non-legume"
"743";"Sanguibacter";17;"Sanguibacteraceae";"Decomposers::Bacterie"
"744";"Satchellius mammalis";24;"Lumbricidae";"Saprogeophageous::Lumb"
"745";"Sclerostagonospora sp. CBS 118142";7;"Phaeosphaeriaceae";"Saprotroph::Fungi"
"746";"Scutellospora alterata";24;"Gigasporaceae";"ACM::Glomeromyc"
"747";"Scytinostroma";7;"Lachnocladiaceae";"Saprotroph::Fungi"
"748";"Sediminibacterium";17;"Chitinophagaceae";"Decomposers::Bacterie"
"749";"Sediminibacterium aquarii";17;"Chitinophagaceae";"Decomposers::Bacterie"
"750";"Segetibacter";17;"Chitinophagaceae";"Decomposers::Bacterie"
"751";"Seinura demani";6;"Aphelenchidae";"Fungivorous::Nematode"
"752";"Seira barnardi";8;"Entomobryidae";"Saprofungivore::Collembole"
"753";"Septoglomus";24;"Glomeraceae";"ACM::Glomeromyc"
"754";"Serpula incrassata";7;"Serpulaceae";"Lignotroph::Fungi"
"755";"Silene";2;"Caryophyllaceae";"Phototroph::Caryophyllaceae"
"756";"Siluania monomastiga";18;"Siluaniidae";"Pred1free::Protist"
"757";"Sinapis alba";2;"Brassicaceae";"Phototroph::Brassicaceae"
"758";"Singulisphaera rosea";17;"Isosphaeraceae";"Miners::Bacterie"
"759";"Sistotrema";7;"Corticiaceae";"Saprotroph::Sistronema"
"760";"Sitona lineatus";15;"Curculionidae";"Phytophage::Sitona"
"761";"Sminthurides aquaticus";8;"Sminthurididae";"Saprofungivore::Collembole"
"762";"Sminthurinus bimaculatus";8;"Katiannidae";"Saprofungivore::Collembole"
"763";"Sminthurus viridis";8;"Sminthuridae";"Saprofungivore::Collembole"
"764";"Solirubrobacter";17;"Solirubrobacteraceae";"Decomposers::Bacterie"
"765";"Solitalea";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"766";"Sorangium cellulosum";17;"Polyangiaceae";"Decomposers::Bacterie"
"767";"Sorghum";2;"Poaceae";"Phototroph::Poaceae"
"768";"Spathidium simplinucleatum";27;"Spathidiidae";"Pred2free::Protist"
"769";"Sphaerobolus stellatus";7;"Sphaerobolaceae";"Saprotroph::Fungi"
"770";"Sphaeroeca";18;"Salpingoecidae";"Pred1free::Protist"
"771";"Sphaeroeca volvox";18;"Salpingoecidae";"Pred1free::Protist"
"772";"Sphenoderia";20;"Sphenoderiidae";"Pred1attach::Protist"
"773";"Sphingobacterium";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"774";"Sphingobacterium sp. P-7";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"775";"Sphingobium olei";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"776";"Sphingomonas";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"777";"Sphingomonas changbaiensis";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"778";"Sphingomonas fennica";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"779";"Sphingomonas sp. 52NP12";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"780";"Sphingomonas sp. C0503";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"781";"Sphingomonas sp. DB-II-12";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"782";"Sphingomonas sp. LP105";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"783";"Sphingomonas sp. ML1";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"784";"Sphingomonas sp. NCCP-1295";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"785";"Sphingomonas sp. THG-DN7.10";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"786";"Sphingorhabdus";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"787";"Sphingosinicella sp. YJ22";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"788";"Spirochaeta";17;"Spirochaetaceae";"Unknown::Bacterie"
"789";"Spizellomyces";7;"Spizellomycetaceae";"Saprotroph::Fungi"
"790";"Spizellomyces punctatus";7;"Spizellomycetaceae";"Saprotroph::Fungi"
"791";"Sporichthya";17;"Sporichthyaceae";"Decomposers::Bacterie"
"792";"Sporobolomyces";7;"Sporidiobolaceae";"Saprotroph::Fungi"
"793";"Spumella";22;"Chromulinaceae";"Phototroph::Algae"
"794";"Spumella lacusvadosi";21;"Chromulinaceae";"Phytophage::Algae"
"795";"Spumella sp. 37G";21;"Chromulinaceae";"Phytophage::Algae"
"796";"Spumella sp. CH3";21;"Chromulinaceae";"Phytophage::Algae"
"797";"Spumella sp. SpiG";21;"Chromulinaceae";"Phytophage::Algae"
"798";"Spumella vulgaris";21;"Chromulinaceae";"Phytophage::Algae"
"799";"Staphylococcus";17;"Staphylococcaceae";"Decomposers::Bacterie"
"800";"Stellaria";2;"Caryophyllaceae";"Phototroph::Caryophyllaceae"
"801";"Stenotrophomonas";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"802";"Stephensia shanorii";7;"Pyronemataceae";"Saprotroph::Fungi"
"803";"Stereum ostrea";7;"Stereaceae";"Saprotroph::Fungi"
"804";"Steroidobacter";17;"Sinobacteraceae";"Opportunists::Bacterie"
"805";"Stigmalychus sp. AD1318";15;"Alicorhagiidae";"Non.selective::Endeostigmata"
"806";"Stigmatella";17;"Archangiaceae";"Decomposers::Bacterie"
"807";"Stilbocrea macrostoma";7;"Bionectriaceae";"Saprotroph::Fungi"
"808";"Streptacidiphilus alcalitolerans";17;"Streptomycetaceae";"Decomposers::Bacterie"
"809";"Streptomyces";17;"Streptomycetaceae";"Decomposers::Bacterie"
"810";"Streptomyces abietis";17;"Streptomycetaceae";"Decomposers::Bacterie"
"811";"Streptomyces sp. PanSC6";17;"Streptomycetaceae";"Decomposers::Bacterie"
"812";"Streptosporangium";17;"Streptosporangiaceae";"Decomposers::Bacterie"
"813";"Syncephalis depressa";7;"Piptocephalidaceae";"Saprotoph::Zoopagales"
"814";"Syncephalis fuscata";7;"Piptocephalidaceae";"Saprotoph::Zoopagales"
"815";"Synchytrium";24;"Synchytriaceae";"Parasitic::Synchytrium"
"816";"Tachyporus hypnorum";9;"Staphylinidae";"Non.selective::Forficulidae"
"817";"Tachysoma pellionellum";18;"Oxytrichidae";"Pred1free::Protist"
"818";"Talaromyces";7;"Trichocomaceae";"Saprotroph::Fungi"
"819";"Taraxacum kok-saghyz";2;"Asteraceae";"Phototroph::Asteraceae"
"820";"Taxus";2;"Taxaceae";"Phototroph::Taxaceae"
"821";"Tectocepheus";15;"Tectocepheidae";"Saprophage::Oribate"
"822";"Tepidisphaera mucosa";17;"Tepidisphaeraceae";"Miners::Bacterie"
"823";"Teratocephalus terrestris";16;"Teratocephalidae";"Bacterivorous::Nematode"
"824";"Terracidiphilus gabretensis";17;"Acidobacteriaceae";"Miners::Bacterie"
"825";"Terrimonas";17;"Chitinophagaceae";"Decomposers::Bacterie"
"826";"Terrimonas arctica";17;"Chitinophagaceae";"Decomposers::Bacterie"
"827";"Terrimonas sp. URHE0054";17;"Chitinophagaceae";"Decomposers::Bacterie"
"828";"Tetracanthella sp. YB-2012";8;"Isotomidae";"Saprofungivore::Collembole"
"829";"Tetrahymena";18;"Tetrahymenidae";"Pred1free::Protist"
"830";"Tetranychus urticae";15;"Tetranychidae";"Parasitic::Tetranychus"
"831";"Tetrodontophora bielanensis";8;"Onychiuridae";"Saprofungivore::Collembole"
"832";"Thaumatomastix";20;"Thaumatomastigidae";"Pred1attach::Protist"
"833";"Thaumatomonas";20;"Thaumatomastigidae";"Pred1attach::Protist"
"834";"Thecotheus holmskjoldii";7;"Ascobolaceae";"Coprotroph::Ascomycota"
"835";"Thermomonas";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"836";"Tipula abdominalis";15;"Tipulidae";"Saprophage::Diptere"
"837";"Tipula cockerelliana";15;"Tipulidae";"Saprophage::Diptere"
"838";"Trechispora farinacea";7;"Hydnodontaceae";"Lignotroph::Fungi"
"839";"Trechus";29;"Carabidae";"Pred4::Carabidae"
"840";"Trechus obtusus";29;"Carabidae";"Pred4::Carabidae"
"841";"Trechus quadristriatus";29;"Carabidae";"Pred4::Carabidae"
"842";"Tribonema";23;"Tribonemataceae";"Phototroph::Algae"
"843";"Trichocerca rattus";18;"Trichocercidae";"Pred1free::Protist"
"844";"Trifolium";2;"Fabaceae";"Phototroph::Fabaceae"
"845";"Trinema";20;"Trinematidae";"Pred1attach::Protist"
"846";"Trinema enchelys";20;"Trinematidae";"Pred1attach::Protist"
"847";"Trinema lineare";20;"Trinematidae";"Pred1attach::Protist"
"848";"Tripyla";10;"Tripylidae";"Non.selective::Nematode"
"849";"Trypanosoma";26;"Trypanosomatidae";"Parasitic::Trypanosomatidae"
"850";"Tubeufia helicomyces";7;"Tubeufiaceae";"Saprotroph::Fungi"
"851";"Tullbergia yosii";8;"Tullbergiidae";"Saprofungivore::Collembole"
"852";"Tylencholaimus sp. PDL-2005";6;"Tylencholaimidae";"Fungivorous::Nematode"
"853";"Tylenchus arcuatus";3;"Tylenchidae";"Parasitic_p::Nematode"
"854";"Tyrophagus";8;"Acaridae";"Fungivorous::Astigmata"
"855";"uncultured Acidimicrobium sp.";17;"Acidimicrobiaceae";"Decomposers::Bacterie"
"856";"uncultured Acidisphaera sp.";17;"Acetobacteraceae";"Decomposers::Bacterie"
"857";"uncultured Aciditerrimonas sp.";17;"Acidimicrobiaceae";"Decomposers::Bacterie"
"858";"uncultured Acidobacterium sp.";17;"Acidobacteriaceae";"Miners::Bacterie"
"859";"uncultured Acidobacterium UA3";17;"Acidobacteriaceae";"Miners::Bacterie"
"860";"uncultured Acidothermus sp.";17;"Acidothermaceae";"Decomposers::Bacterie"
"861";"uncultured Acidovorax sp.";17;"Comamonadaceae";"Decomposers::Bacterie"
"862";"uncultured Actinoallomurus sp.";17;"Thermomonosporaceae";"Decomposers::Bacterie"
"863";"uncultured Actinocatenispora sp.";17;"Micromonosporaceae";"Decomposers::Bacterie"
"864";"uncultured Actinomyces sp.";17;"Actinomycetaceae";"Decomposers::Bacterie"
"865";"uncultured Actinoplanes sp.";17;"Micromonosporaceae";"Decomposers::Bacterie"
"866";"uncultured Adhaeribacter sp.";17;"Hymenobacteraceae";"Decomposers::Bacterie"
"867";"uncultured Altererythrobacter sp.";17;"Erythrobacteraceae";"Decomposers::Bacterie"
"868";"uncultured Aminobacter sp.";17;"Phyllobacteriaceae";"Decomposers::Bacterie"
"869";"uncultured Anaeromyxobacter sp.";17;"Anaeromyxobacteraceae";"Decomposers::Bacterie"
"870";"uncultured Arenimonas sp.";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"871";"uncultured Bacillus sp.";17;"Bacillaceae";"Decomposers::Bacterie"
"872";"uncultured Bacteroides sp.";17;"Bacteroidaceae";"Decomposers::Bacterie"
"873";"uncultured Bdellovibrio sp.";17;"Bdellovibrionaceae";"Decomposers::Bacterie"
"874";"uncultured Bellilinea sp.";17;"Anaerolineaceae";"Decomposers::Bacterie"
"875";"uncultured Blastochloris sp.";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"876";"uncultured Bradyrhizobium sp.";17;"Bradyrhizobiaceae";"Decomposers::Bacterie"
"877";"uncultured Burkholderia sp.";17;"Burkholderiaceae";"Decomposers::Bacterie"
"878";"uncultured Byssovorax sp.";17;"Polyangiaceae";"Decomposers::Bacterie"
"879";"uncultured Caldilinea sp.";17;"Caldilineaceae";"Decomposers::Bacterie"
"880";"uncultured Candidatus Koribacter sp.";17;"Acidobacteriaceae";"Miners::Bacterie"
"881";"uncultured Candidatus Microthrix sp.";17;"Microthrixaceae";"Decomposers::Bacterie"
"882";"uncultured Candidatus Nephrothrix sp.";17;"Cytophagaceae";"Decomposers::Bacterie"
"883";"uncultured Candidatus Nitrosopumilus sp.";5;"Nitrosopumilaceae";"Decomposers::Archae"
"884";"uncultured Candidatus Solibacter sp.";17;"Solibacteraceae";"Miners::Bacterie"
"885";"uncultured Caulobacter sp.";17;"Caulobacteraceae";"Decomposers::Bacterie"
"886";"uncultured Chitinophaga sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"887";"uncultured Chloroflexus sp.";17;"Chloroflexaceae";"Decomposers::Bacterie"
"888";"uncultured Chondromyces sp.";17;"Polyangiaceae";"Decomposers::Bacterie"
"889";"uncultured Comamonas sp.";17;"Comamonadaceae";"Decomposers::Bacterie"
"890";"uncultured Conexibacter sp.";17;"Conexibacteraceae";"Decomposers::Bacterie"
"891";"uncultured Crocinitomix sp.";17;"Crocinitomicaceae";"Decomposers::Bacterie"
"892";"uncultured Cupriavidus sp.";17;"Burkholderiaceae";"Decomposers::Bacterie"
"893";"uncultured Curvibacter sp.";17;"Comamonadaceae";"Decomposers::Bacterie"
"894";"uncultured Cystobacter sp.";17;"Archangiaceae";"Decomposers::Bacterie"
"895";"uncultured Cytophaga sp.";17;"Cytophagaceae";"Decomposers::Bacterie"
"896";"uncultured Dactylosporangium sp.";17;"Micromonosporaceae";"Decomposers::Bacterie"
"897";"uncultured Dehalococcoides sp.";17;"Dehalococcoidaceae";"Decomposers::Bacterie"
"898";"uncultured Demequina sp.";17;"Demequinaceae";"Decomposers::Bacterie"
"899";"uncultured Denitratisoma sp.";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"900";"uncultured Derxia sp.";17;"Alcaligenaceae";"Decomposers::Bacterie"
"901";"uncultured Desulfitobacterium sp.";17;"Peptococcaceae";"Decomposers::Bacterie"
"902";"uncultured Desulfotalea sp.";17;"Desulfobulbaceae";"Decomposers::Bacterie"
"903";"uncultured Desulfovibrio sp.";17;"Desulfovibrionaceae";"Decomposers::Bacterie"
"904";"uncultured Desulfovirga sp.";17;"Syntrophobacteraceae";"Decomposers::Bacterie"
"905";"uncultured Desulfuromonas sp.";17;"Desulfuromonadaceae";"Decomposers::Bacterie"
"906";"uncultured Dokdonella sp.";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"907";"uncultured Dongia sp.";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"908";"uncultured Dyella sp.";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"909";"uncultured Edaphobacter sp.";17;"Acidobacteriaceae";"Miners::Bacterie"
"910";"uncultured Elusimicrobium sp.";17;"Elusimicrobiaceae";"Unknown::Bacterie"
"911";"uncultured Erythrobacter sp.";17;"Erythrobacteraceae";"Decomposers::Bacterie"
"912";"uncultured Ferribacterium sp.";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"913";"uncultured Ferrimicrobium sp.";17;"Acidimicrobiaceae";"Decomposers::Bacterie"
"914";"uncultured Ferrithrix sp.";17;"Acidimicrobiaceae";"Decomposers::Bacterie"
"915";"uncultured Ferruginibacter sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"916";"uncultured Fibrobacter sp.";17;"Fibrobacteraceae";"Unknown::Bacterie"
"917";"uncultured Flavisolibacter sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"918";"uncultured Flavobacterium sp.";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"919";"uncultured Flexibacter sp.";17;"Cytophagaceae";"Decomposers::Bacterie"
"920";"uncultured Fluviicola sp.";17;"Crocinitomicaceae";"Decomposers::Bacterie"
"921";"uncultured Frankia sp.";17;"Frankiaceae";"Decomposers::Bacterie"
"922";"uncultured Fusobacterium sp.";17;"Fusobacteriaceae";"Unknown::Bacterie"
"923";"uncultured Gaiella sp.";17;"Gaiellaceae";"Decomposers::Bacterie"
"924";"uncultured Gemmata sp.";17;"Gemmataceae";"Miners::Bacterie"
"925";"uncultured Gemmatimonas sp.";17;"Gemmatimonadaceae";"Miners::Bacterie"
"926";"uncultured Geoalkalibacter sp.";17;"Geobacteraceae";"Decomposers::Bacterie"
"927";"uncultured Geobacter sp.";17;"Geobacteraceae";"Decomposers::Bacterie"
"928";"uncultured Georgfuchsia sp.";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"929";"uncultured Geothermobacter sp.";17;"Geobacteraceae";"Decomposers::Bacterie"
"930";"uncultured Haliangium sp.";17;"Kofleriaceae";"Decomposers::Bacterie"
"931";"uncultured Haliea sp.";17;"Halieaceae";"Opportunists::Bacterie"
"932";"uncultured Haliscomenobacter sp.";17;"Saprospiraceae";"Decomposers::Bacterie"
"933";"uncultured Herbaspirillum sp.";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"934";"uncultured Herminiimonas sp.";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"935";"uncultured Holophaga sp.";17;"Holophagaceae";"Miners::Bacterie"
"936";"uncultured Hydrogenophaga sp.";17;"Comamonadaceae";"Decomposers::Bacterie"
"937";"uncultured Hyphomicrobium sp.";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"938";"uncultured Iamia sp.";17;"Iamiaceae";"Decomposers::Bacterie"
"939";"uncultured Ignavibacterium sp.";17;"Ignavibacteriaceae";"Unknown::Bacterie"
"940";"uncultured Ilumatobacter sp.";17;"Acidimicrobiaceae";"Decomposers::Bacterie"
"941";"uncultured Isosphaera sp.";17;"Isosphaeraceae";"Miners::Bacterie"
"942";"uncultured Janibacter sp.";17;"Intrasporangiaceae";"Decomposers::Bacterie"
"943";"uncultured Kineococcus sp.";17;"Kineosporiaceae";"Decomposers::Bacterie"
"944";"uncultured Kineosporia sp.";17;"Kineosporiaceae";"Decomposers::Bacterie"
"945";"uncultured Kofleria sp.";17;"Kofleriaceae";"Decomposers::Bacterie"
"946";"uncultured Ktedonobacter sp.";17;"Ktedonobacteraceae";"Decomposers::Bacterie"
"947";"uncultured Lacibacter sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"948";"uncultured Legionella sp.";17;"Legionellaceae";"Opportunists::Bacterie"
"949";"uncultured Lentzea sp.";17;"Pseudonocardiaceae";"Decomposers::Bacterie"
"950";"uncultured Levilinea sp.";17;"Anaerolineaceae";"Decomposers::Bacterie"
"951";"uncultured Lishizhenia sp.";17;"Crocinitomicaceae";"Decomposers::Bacterie"
"952";"uncultured Longilinea sp.";17;"Anaerolineaceae";"Decomposers::Bacterie"
"953";"uncultured Luteolibacter sp.";17;"Verrucomicrobiaceae";"Decomposers::Bacterie"
"954";"uncultured Lysobacter sp.";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"955";"uncultured Malonomonas sp.";17;"Desulfuromonadaceae";"Decomposers::Bacterie"
"956";"uncultured Marmoricola sp.";17;"Nocardioidaceae";"Decomposers::Bacterie"
"957";"uncultured Massilia sp.";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"958";"uncultured Mesorhizobium sp.";17;"Phyllobacteriaceae";"Decomposers::Bacterie"
"959";"uncultured Methylobacillus sp.";17;"Methylophilaceae";"Decomposers::Bacterie"
"960";"uncultured Methylocapsa sp.";17;"Beijerinckiaceae";"Decomposers::Bacterie"
"961";"uncultured Methylocella sp.";17;"Beijerinckiaceae";"Decomposers::Bacterie"
"962";"uncultured Methylophilus sp.";17;"Methylophilaceae";"Decomposers::Bacterie"
"963";"uncultured Methylosinus sp.";17;"Methylocystaceae";"Decomposers::Bacterie"
"964";"uncultured Microlunatus sp.";17;"Propionibacteriaceae";"Decomposers::Bacterie"
"965";"uncultured Micromonospora sp.";17;"Micromonosporaceae";"Decomposers::Bacterie"
"966";"uncultured Microvirga sp.";17;"Methylobacteriaceae";"Decomposers::Bacterie"
"967";"uncultured Moorella sp.";17;"Thermoanaerobacteraceae";"Decomposers::Bacterie"
"968";"uncultured Mucilaginibacter sp.";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"969";"uncultured Mycobacterium sp.";17;"Mycobacteriaceae";"Decomposers::Bacterie"
"970";"uncultured Nannocystis sp.";17;"Nannocystaceae";"Decomposers::Bacterie"
"971";"uncultured Niastella sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"972";"uncultured Nitratireductor sp.";17;"Phyllobacteriaceae";"Decomposers::Bacterie"
"973";"uncultured Nitrosococcus sp.";17;"Chromatiaceae";"Opportunists::Bacterie"
"974";"uncultured Nitrososphaera sp.";5;"Nitrososphaeraceae";"Decomposers::Archae"
"975";"uncultured Nitrosospira sp.";17;"Nitrosomonadaceae";"Decomposers::Bacterie"
"976";"uncultured Nitrospira sp.";17;"Nitrospiraceae";"Unknown::Bacterie"
"977";"uncultured Nocardioides sp.";17;"Nocardioidaceae";"Decomposers::Bacterie"
"978";"uncultured Novosphingobium sp.";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"979";"uncultured Ohtaekwangia sp.";17;"Cytophagaceae";"Decomposers::Bacterie"
"980";"uncultured Opitutus sp.";17;"Opitutaceae";"Decomposers::Bacterie"
"981";"uncultured Pasteuria sp.";17;"Pasteuriaceae";"Decomposers::Bacterie"
"982";"uncultured Pedobacter sp.";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"983";"uncultured Pedomicrobium sp.";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"984";"uncultured Pedosphaera sp.";17;"Verrucomicrobia subdivision 3";"Decomposers::Bacterie"
"985";"uncultured Pelobacter sp.";17;"Desulfuromonadaceae";"Decomposers::Bacterie"
"986";"uncultured Phaselicystis sp.";17;"Phaselicystidaceae";"Decomposers::Bacterie"
"987";"uncultured Phenylobacterium sp.";17;"Caulobacteraceae";"Decomposers::Bacterie"
"988";"uncultured Pirellula sp.";17;"Planctomycetaceae";"Miners::Bacterie"
"989";"uncultured Planctomyces sp.";17;"Planctomycetaceae";"Miners::Bacterie"
"990";"uncultured Polaromonas sp.";17;"Comamonadaceae";"Decomposers::Bacterie"
"991";"uncultured Polyangium sp.";17;"Polyangiaceae";"Decomposers::Bacterie"
"992";"uncultured Propionivibrio sp.";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"993";"uncultured Prosthecobacter sp.";17;"Verrucomicrobiaceae";"Decomposers::Bacterie"
"994";"uncultured Prosthecomicrobium sp.";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"995";"uncultured Pseudolabrys sp.";17;"Xanthobacteraceae";"Decomposers::Bacterie"
"996";"uncultured Pseudomonas sp.";17;"Pseudomonadaceae";"Opportunists::Bacterie"
"997";"uncultured Pseudonocardia sp.";17;"Pseudonocardiaceae";"Decomposers::Bacterie"
"998";"uncultured Rhizobium sp.";17;"Rhizobiaceae";"Decomposers::Bacterie"
"999";"uncultured Rhizomicrobium sp.";17;"Micropepsaceae";"Decomposers::Bacterie"
"1000";"uncultured Rhodobium sp.";17;"Rhodobiaceae";"Decomposers::Bacterie"
"1001";"uncultured Rhodococcus sp.";17;"Nocardiaceae";"Decomposers::Bacterie"
"1002";"uncultured Rhodoferax sp.";17;"Comamonadaceae";"Decomposers::Bacterie"
