"";"Meth";"Tax";"P1";"P2";"DiffP12";"DiffP21"
"1893";"none";"genus";"D-";"C-";"Veigaia, Ecumenicus, Lacrymaria, Mallomonas, Mesodorylaimus, Monosiga, Prodesmodora, Pseudocyrtolophosis, Rhabditis, Protaphorura, Tullbergia, Tylencholaimus, Romanomermis, Arcuospathidium, Clarkus, Phialina, Bryometopus, Basiria, Longidorus, Meloidogyne, Limonomyces, Magnaporthe, Rhizoctonia, Acyrthosiphon, Acrospermum, Apiotrichum, Brachyphoris, Chaetosphaeria, Craterocolla, Cyphellophora, Hyalorbilia, Hymenoscyphus, Melastiza, Panorbis, Stephensia, Trechispora, Crocinitomix, Henlea, Octolasion, Persicaria";"Allovahlkampfia, Cephalobus, Chlamydomyxa, Codosiga, Eucephalobus, Eumonhystera, Meseres, Notholca, Obertrumia, Panagrolaimus, Paulinella, Prismatolaimus, Prodorylaimus, Pseudovorticella, Tetrahymena, Trichocerca, Vorticellides, Metarhizium, Trechus, Trypanosoma, Forficula, Robertus, Urostyla, Agriotes, Merlinius, Pratylenchoides, Rotylenchulus, Aphelenchoides, Folsomia, Seinura, Sminthurides, Willowsia, Ambispora, Archaeospora, Diversispora, Funneliformis, Glomus, Paraglomus, Rhizophagus, Gaeumannomyces, Bullera, Cryphonectria, Fibrobacter, Granulicella, Guepiniopsis, Mucor, Occallatibacter, Pluteus, Pyrenochaeta, Saccharomyces, Scytinostroma, Sistotrema, Spizellomyces, Talaromyces, Acidisphaera, Acinetobacter, Aggregicoccus, Altererythrobacter, Aquihabitans, Bacteriovorax, Brevundimonas, Caenimonas, Catellatospora, Clavibacter, Dyella, Emticicia, Fibrella, Georgfuchsia, Haliea, Janthinobacterium, Jatrophihabitans, Ktedonobacter, Kutzneria, Lysobacter, Malonomonas, Methylophilus, Microlunatus, Perlucidibaca, Rathayibacter, Rhodanobacter, Rhodoferax, Sanguibacter, Segetibacter, Solitalea, Staphylococcus, Variibacter, Cylindroiulus, Polydesmus, Tectocepheus, Alnus, Botryochloris, Bracteacoccus, Calluna, Cerastium, Chlorococcum, Heterococcus, Juncus, Mayamaea, Nitzschia, Prototheca, Pseudo-nitzschia, Rumex, Salvia, Taxus, Vaucheria, Xanthonema, Zea"
"1894";"none";"genus";"D-";"C+";"Epistylis, Ochromonas, Plectus, Rhabditis, Aphelenchus, Friesea, Protaphorura, Romanomermis, Dileptus, Vampyrella, Basiria, Bos, Neopsilenchus, Tylenchus, Limonomyces, Magnaporthe, Polymyxa, Rhizoctonia, Waitea, Acyrthosiphon, Woronina, Boudiera, Craterocolla, Melastiza, Stephensia, Allolobophora, Holcus, Orciraptor, Persicaria, Taraxacum, Vigna";"Anoplophrya, Chthonius, Allovahlkampfia, Bardeliella, Bicosoeca, Diaphanoeca, Discolaimus, Eucephalobus, Homalogastra, Meseres, Mesorhabditis, Notholca, Oxytricha, Paulinella, Prismatolaimus, Vorticellides, Eosentomon, Folsomia, Pseudaphelenchus, Tyrophagus, Willowsia, Beauveria, Metarhizium, Trypanosoma, Bryometopus pseudochilodon, Chytridium, Agriotes, Boleodorus, Pratylenchoides, Rotylenchulus, Rotylenchus, Basidiobolus, Dissophora, Gongronella, Mucor, Occallatibacter, Pluteus, Pyrenochaeta, Saccharomyces, Sistotrema, Talaromyces, Acidisphaera, Acinetobacter, Aminobacter, Aquihabitans, Bacteriovorax, Brevundimonas, Catellatospora, Clavibacter, Curvibacter, Dyella, Georgfuchsia, Janthinobacterium, Jatrophihabitans, Ktedonobacter, Lysobacter, Malonomonas, Microlunatus, Ochrobactrum, Perlucidibaca, Rathayibacter, Rhodoferax, Solitalea, Variibacter, Chamaedrilus, Protoribates, Tectocepheus, Satchellius, Botryochloris, Bracteacoccus, Cedrus, Mayamaea, Nitzschia, Prototheca, Xanthonema"
"1895";"none";"genus";"D-";"D-";"";""
"1896";"none";"genus";"D-";"D+";"Veigaia, Bresslauides, Epistylis, Heterophrys, Lacrymaria, Peregrinia, Plectus, Prodesmodora, Thaumatomastix, Vermamoeba, Amphileptus, Dileptus, Epispathidium, Phialina, Waitea, Acyrthosiphon, Aphanomyces, Woronina, Boudiera, Hymenoscyphus, Hyphodiscus, Orbicula, Crocinitomix, Nannocystis, Stenotrophomonas, Henlea, Chlorella, Chlorellidium, Persicaria";"Acrobeloides, Allovahlkampfia, Bardeliella, Bicosoeca, Codosiga, Diaphanoeca, Eumonhystera, Homalogastra, Notholca, Obertrumia, Paulinella, Prismatolaimus, Pseudovorticella, Pseudaphelenchus, Tyrophagus, Monilicaryon, Metarhizium, Bryometopus pseudochilodon, Trypanosoma, Boleodorus, Merlinius, Rotylenchulus, Rotylenchus, Entyloma, Bisporella, Cryptococcus, Fibrobacter, Gongronella, Guepiniopsis, Pluteus, Porpoloma, Pyrenochaeta, Saccharomyces, Scytinostroma, Sphaerobolus, Talaromyces, Acidisphaera, Aminobacter, Aquihabitans, Brevundimonas, Caenimonas, Catellatospora, Clavibacter, Dyella, Georgfuchsia, Haliea, Jatrophihabitans, Ktedonobacter, Malonomonas, Microlunatus, Ochrobactrum, Perlucidibaca, Rathayibacter, Rhodoferax, Segetibacter, Solitalea, Staphylococcus, Protoribates, Tipula, Satchellius, Actinochloris, Aphis, Canavalia, Cedrus, Helianthus, Linum, Mayamaea, Phacelia, Picea, Ranunculus, Rumex, Sorghum, Xanthonema"
"1897";"none";"genus";"D-";"E-";"Bresslauides, Ecumenicus, Epistylis, Massisteria, Mesodorylaimus, Nolandella, Plectus, Rhabditis, Aphelenchus, Friesea, Herpetomonas, Romanomermis, Amphileptus, Epispathidium, Hyphochytrium, Basiria, Neopsilenchus, Polymyxa, Waitea, Acyrthosiphon, Campanella, Craterocolla, Melastiza, Panorbis, Desulfuromonas, Nannocystis, Phyllobacterium, Propionivibrio, Rhodococcus, Sphingorhabdus, Stenotrophomonas, Streptosporangium, Chlorellidium, Pleurochloris, Polygonum, Taraxacum";"Anystis, Acrobeloides, Allovahlkampfia, Amphidelus, Bardeliella, Codosiga, Diaphanoeca, Eumonhystera, Homalogastra, Meseres, Pseudoplatynematum, Vorticellides, Eosentomon, Tyrophagus, Willowsia, Metarhizium, Merlinius, Basidiobolus, Cryphonectria, Dissophora, Gongronella, Hyphodontia, Mucor, Occallatibacter, Pluteus, Pyrenochaeta, Saccharomyces, Spizellomyces, Acidisphaera, Actinocrinis, Altererythrobacter, Aminobacter, Aquihabitans, Bacteriovorax, Blastochloris, Brevundimonas, Clavibacter, Jatrophihabitans, Ktedonobacter, Kutzneria, Kuzuhaea, Lysobacter, Malonomonas, Microlunatus, Ochrobactrum, Perlucidibaca, Rathayibacter, Rhodoferax, Roseiarcus, Solitalea, Staphylococcus, Chamaedrilus, Satchellius, Botryochloris, Bracteacoccus, Canavalia, Chlorococcum, Heterococcus, Mayamaea, Prototheca, Pseudo-nitzschia, Pseudopleurochloris, Taxus"
"1898";"none";"genus";"D-";"E+";"Veigaia, Lacrymaria, Leptopharynx, Mesodorylaimus, Peregrinia, Protaspis, Protocyclidium, Tachysoma, Friesea, Vertagopus, Romanomermis, Anatonchus, Dileptus, Phialina, Longidorus, Neopsilenchus, Pratylenchus, Tylenchus, Acyrthosiphon, Melastiza, Pyxidiophora, Trechispora, Sphingosinicella, Henlea, Alicorhagia, Persicaria, Taraxacum";"Lonchoptera, Mykophagophrys, Prodorylaimus, Seinura, Sminthurides, Willowsia, Monocystis, Acrobeloides, Allovahlkampfia, Bardeliella, Bicosoeca, Cephalobus, Codosiga, Diaphanoeca, Eucephalobus, Eumonhystera, Meseres, Mesorhabditis, Notholca, Prismatolaimus, Pseudovorticella, Vorticellides, Fuscheria, Boleodorus, Merlinius, Pratylenchoides, Rotylenchulus, Rotylenchus, Metarhizium, Robertus, Rhopalosiphum, Absidia, Auxarthron, Basidiobolus, Bullera, Catenaria, Cryphonectria, Cryptococcus, Dissophora, Guepiniopsis, Mucor, Occallatibacter, Peniophorella, Pluteus, Preussia, Pyrenochaeta, Sphaerobolus, Acidisphaera, Acinetobacter, Altererythrobacter, Aminobacter, Aquihabitans, Bacteriovorax, Brevundimonas, Catellatospora, Clavibacter, Dyella, Fibrella, Georgfuchsia, Janthinobacterium, Jatrophihabitans, Lysobacter, Malonomonas, Methylophilus, Microlunatus, Ochrobactrum, Rathayibacter, Rhodoferax, Sanguibacter, Segetibacter, Solitalea, Syntrophobacter, Tipula, Trypanosoma, Botryochloris, Bracteacoccus, Canavalia, Desmodesmus, Heterococcus, Mayamaea, Nitzschia, Picea, Rumex, Sorghum, Xanthonema, Zea"
"1899";"none";"genus";"D-";"F-";"Veigaia, Ecumenicus, Epistylis, Leptopharynx, Mesodorylaimus, Monosiga, Saccamoeba, Tachysoma, Vermamoeba, Vexillifera, Zoothamnium, Isotoma, Tylencholaimus, Romanomermis, Amplimerlinius, Basiria, Meloidogyne, Tylenchus, Waitea, Acyrthosiphon, Aphanomyces, Boudiera, Campanella, Holophaga, Hyalorbilia, Hymenochaetopsis, Hymenoscyphus, Hyphodiscus, Ignavibacterium, Melastiza, Orbicula, Panorbis, Pholiota, Pyxidiophora, Serpula, Sporobolomyces, Stephensia, Turneriella, Agromyces, Cenarchaeum, Clostridium, Dechloromonas, Desulfuromonas, Diaphorobacter, Magnetospirillum, Methylobacillus, Micromonospora, Mycoplana, Nonomuraea, Paenibacillus, Paucimonas, Phyllobacterium, Porphyrobacter, Rhodobium, Rhodococcus, Rhodopseudomonas, Skermanella, Sphaerobacter, Sphingosinicella, Stenotrophomonas, Thermaerobacter, Thermoanaerobacter, Verrucomicrobium, Lumbricus, Chlamydomonas, Chlorella, Coelastrella, Klebsormidium, Persicaria, Polygonum, Tribonema";"Helicotylenchus, Heterodera, Phoma, Xiphinema, Choleva, Eosentomon, Folsomia, Isotomiella, Podura, Pseudaphelenchus, Seira, Tetracanthella, Tripyla, Acrobeloides, Allovahlkampfia, Bastiania, Bicosoeca, Blepharisma, Cephalobus, Diaphanoeca, Eucephalobus, Homalogastra, Meseres, Mesorhabditis, Metateratocephalus, Notholca, Oxytricha, Prismatolaimus, Prorodon, Pseudoplatynematum, Pseudovorticella, Siluania, Tetrahymena, Monilicaryon, Neourostylopsis, Nygolaimus, Odontolaimus, Spathidium, Metarhizium, Bryometopus pseudochilodon, Platyreta, Cystobasidium, Olpidium, Ambispora, Archaeospora, Cetraspora, Claroideoglomus, Diversispora, Funneliformis, Glomus, Paraglomus, Rhizophagus, Scutellospora, Barynotus, Absidia, Archaeorhizomyces, Asterostroma, Auxarthron, Basidiobolus, Bisporella, Catenaria, Cryptococcus, Dissophora, Geastrum, Gongronella, Halteromyces, Hodophilus, Mucor, Orbilia, Pluteus, Pyrenochaeta, Ramariopsis, Scytinostroma, Spizellomyces, Talaromyces, Terracidiphilus, Acidisphaera, Altererythrobacter, Aminobacter, Amphimallon, Aquihabitans, Bacteriovorax, Bellilinea, Blastochloris, Brevundimonas, Clavibacter, Dyella, Fibrella, Georgfuchsia, Haliea, Janthinobacterium, Jatrophihabitans, Ktedonobacter, Kutzneria, Lysobacter, Malonomonas, Ochrobactrum, Rhodoferax, Rickettsiella, Roseiarcus, Saccobolus, Segetibacter, Variibacter, Bradysia, Campodea, Liochthonius, Tectocepheus, Abies, Achillea, Cardamine, Cerastium, Euduboscquella, Helianthus, Mayamaea, Pentapharsodinium, Picea, Prototheca, Rumex, Stigmalychus, Trechus"
"1900";"none";"genus";"D-";"F+";"Ecumenicus, Epistylis, Lacrymaria, Mesodorylaimus, Rhabditis, Saccamoeba, Tachysoma, Vermamoeba, Vexillifera, Zoothamnium, Isotoma, Tylencholaimus, Herpetomonas, Romanomermis, Amphileptus, Bryometopus, Amplimerlinius, Basiria, Meloidogyne, Neopsilenchus, Boudiera, Campanella, Craterocolla, Holophaga, Hymenochaetopsis, Hymenoscyphus, Ignavibacterium, Melastiza, Orbicula, Panorbis, Pholiota, Pyxidiophora, Serpula, Spirochaeta, Stephensia, Tubeufia, Turneriella, Yarrowia, Acidothermus, Aeromicrobium, Agromyces, Arthrobacter, Dechloromonas, Delftia, Demequina, Desulfuromonas, Diaphorobacter, Dyadobacter, Fluviicola, Herminiimonas, Kineococcus, Leifsonia, Luteimonas, Magnetospirillum, Methylobacillus, Micromonospora, Mycoplana, Nannocystis, Nonomuraea, Paenibacillus, Panaeolus, Paucimonas, Rhodobium, Rhodococcus, Rhodopseudomonas, Skermanella, Sphaerobacter, Sphingobacterium, Sphingorhabdus, Stenotrophomonas, Sterolibacterium, Streptosporangium, Thermaerobacter, Thermoanaerobacter, Verrucomicrobium, Octolasion, Chlorella, Coelastrella, Persicaria, Polygonum, Tribonema";"Helicotylenchus, Phoma, Xiphinema, Eosentomon, Isotomiella, Podura, Pseudaphelenchus, Sminthurides, Sminthurinus, Tetracanthella, Tripyla, Acrobeloides, Allovahlkampfia, Bastiania, Bicosoeca, Blepharisma, Cephalobus, Diaphanoeca, Eucephalobus, Homalogastra, Meseres, Metateratocephalus, Notholca, Oxytricha, Prismatolaimus, Prorodon, Pseudoplatynematum, Pseudovorticella, Siluania, Vorticellides, Metarhizium, Diplogasteroides, Neourostylopsis, Nygolaimus, Bryometopus pseudochilodon, Platyreta, Gliricola, Chytridium, Archaeospora, Cetraspora, Claroideoglomus, Diversispora, Glomus, Paraglomus, Rhizophagus, Scutellospora, Absidia, Archaeorhizomyces, Asterostroma, Basidiobolus, Bisporella, Catenaria, Cryptococcus, Dissophora, Geastrum, Gongronella, Granulicella, Halteromyces, Hodophilus, Mucor, Occallatibacter, Orbilia, Pluteus, Preussia, Scytinostroma, Spizellomyces, Talaromyces, Terracidiphilus, Acidisphaera, Actinocrinis, Aquihabitans, Bacteriovorax, Blastochloris, Brevundimonas, Catellatospora, Clavibacter, Dyella, Georgfuchsia, Haliea, Humibacter, Janthinobacterium, Jatrophihabitans, Ktedonobacter, Kutzneria, Kuzuhaea, Lysobacter, Ochrobactrum, Piptocephalis, Rhodanobacter, Rhodoferax, Rickettsiella, Roseiarcus, Variibacter, Campodea, Liochthonius, Tectocepheus, Trechus, Abies, Cedrus, Cerastium, Mayamaea, Pentapharsodinium, Picea, Prototheca, Pseudochilodonopsis, Rumex, Taxus, Veronica"
"1901";"none";"genus";"D-";"G-";"Veigaia, Lamproderma, Leptopharynx, Mallomonas, Mesodorylaimus, Tachysoma, Vermamoeba, Vexillifera, Isotoma, Sminthurus, Tylencholaimus, Herpetomonas, Romanomermis, Anatonchus, Amplimerlinius, Basiria, Itersonilia, Meloidogyne, Acyrthosiphon, Aphanomyces, Boudiera, Campanella, Craterocolla, Geothrix, Hymenoscyphus, Hyphodiscus, Ignavibacterium, Melastiza, Orbicula, Panorbis, Pyxidiophora, Spirochaeta, Sporobolomyces, Stephensia, Stilbocrea, Tubeufia, Turneriella, Arthrobacter, Candidatus Microthrix, Cenarchaeum, Dechloromonas, Delftia, Demequina, Diaphorobacter, Geoalkalibacter, Geodermatophilus, Herminiimonas, Methanomassiliicoccus, Methylobacillus, Micromonospora, Mycoplana, Nannocystis, Nonomuraea, Oryzihumus, Paenibacillus, Porphyrobacter, Sphingosinicella, Stenotrophomonas, Sterolibacterium, Thermaerobacter, Thermoanaerobacter, Thermoflavimicrobium, Thiorhodospira, Verrucomicrobium, Chlamydomonas, Chlorella, Coelastrella, Dinobryon, Klebsormidium, Palmellopsis, Persicaria, Pleurochloris, Polygonum, Tribonema";"Helicotylenchus, Phoma, Aphelenchoides, Ceratophysella, Ditylenchus, Eosentomon, Folsomia, Isotomiella, Podura, Prodorylaimus, Pseudaphelenchus, Seira, Sminthurides, Tachyporus, Tetrodontophora, Tripyla, Anystis, Blaberolaelaps, Acrobeloides, Allovahlkampfia, Amphidelus, Bastiania, Bicosoeca, Blepharisma, Cephalobus, Diaphanoeca, Homalogastra, Meseres, Metateratocephalus, Notholca, Oxytricha, Prismatolaimus, Pseudovorticella, Teratocephalus, Tetrahymena, Diplogasteroides, Monilicaryon, Odontolaimus, Spathidium, Metarhizium, Bryometopus pseudochilodon, Platyreta, Cystobasidium, Aulacorthum, Olpidium, Chytridium, Ambispora, Archaeospora, Claroideoglomus, Diversispora, Glomus, Palaeospora, Paraglomus, Scutellospora, Septoglomus, Pemphigus, Rhopalosiphum, Absidia, Archaeorhizomyces, Asterostroma, Auxarthron, Basidiobolus, Bisporella, Cryptococcus, Dissophora, Endochytrium, Gongronella, Halteromyces, Hodophilus, Hygrocybe, Mucor, Oligoflexus, Pluteus, Pyrenochaeta, Scytinostroma, Sphaerobolus, Spizellomyces, Actinocatenispora, Aquihabitans, Brevundimonas, Clavibacter, Dyella, Georgfuchsia, Haliea, Iodophanus, Jatrophihabitans, Malonomonas, Microlunatus, Ochrobactrum, Rhodoferax, Rickettsiella, Saccobolus, Solitalea, Variibacter, Bradysia, Campodea, Cylindroiulus, Tectocepheus, Satchellius, Abies, Cardamine, Cerastium, Euduboscquella, Helianthus, Mayamaea, Myrmica, Pentapharsodinium, Picea, Pseudo-nitzschia, Rumex, Stellaria, Taxus"
"1902";"none";"genus";"D-";"G+";"Ecumenicus, Leptopharynx, Mesodorylaimus, Tachysoma, Vermamoeba, Vexillifera, Zoothamnium, Isotoma, Tylencholaimus, Herpetomonas, Romanomermis, Anatonchus, Hemiamphisiella, Bryometopus, Pseudouroleptus, Amplimerlinius, Basiria, Longidorus, Meloidogyne, Neopsilenchus, Limonomyces, Rhizoctonia, Waitea, Aphanomyces, Boudiera, Campanella, Craterocolla, Geothrix, Ignavibacterium, Melastiza, Orbicula, Panorbis, Pyxidiophora, Serpula, Spirochaeta, Sporobolomyces, Stephensia, Tubeufia, Yarrowia, Arthrobacter, Cenarchaeum, Comamonas, Dechloromonas, Delftia, Desulfotalea, Desulfuromonas, Diaphorobacter, Kineococcus, Luteimonas, Martelella, Methanomassiliicoccus, Methylobacillus, Methylobacterium, Micromonospora, Mycoplana, Nannocystis, Paenibacillus, Pasteuria, Sphingorhabdus, Sphingosinicella, Stenotrophomonas, Sterolibacterium, Syncephalis, Thermaerobacter, Thermoanaerobacter, Thiorhodospira, Verrucomicrobium, Octolasion, Chlamydomonas, Chlorella, Chlorellidium, Coelastrella, Dinobryon, Jaagiella, Palmellopsis, Persicaria, Pleurochloris, Polygonum";"Helicotylenchus, Merlinius, Pratylenchoides, Eosentomon, Lonchoptera, Podura, Prodorylaimus, Pseudaphelenchus, Sminthurinus, Tetracanthella, Tetrodontophora, Tripyla, Monocystis, Acrobeloides, Allovahlkampfia, Bastiania, Bicosoeca, Blepharisma, Cephalobus, Diaphanoeca, Homalogastra, Meseres, Metateratocephalus, Notholca, Oxytricha, Prismatolaimus, Pseudovorticella, Siluania, Vorticellides, Metarhizium, Diplogasteroides, Neourostylopsis, Odontolaimus, Platyreta, Cystobasidium, Chytridium, Archaeospora, Diversispora, Glomus, Paraglomus, Scutellospora, Pemphigus, Rhopalosiphum, Barynotus, Absidia, Archaeorhizomyces, Asterostroma, Auxarthron, Basidiobolus, Bisporella, Catenaria, Cryptococcus, Dissophora, Gongronella, Granulicella, Halteromyces, Hodophilus, Mucor, Occallatibacter, Spizellomyces, Terracidiphilus, Acidisphaera, Acinetobacter, Actinocatenispora, Actinocrinis, Aminobacter, Aquihabitans, Brevundimonas, Clavibacter, Dyella, Georgfuchsia, Haliea, Humibacter, Janthinobacterium, Jatrophihabitans, Kutzneria, Kuzuhaea, Lysobacter, Microlunatus, Ochrobactrum, Piptocephalis, Rhodanobacter, Rhodoferax, Rickettsiella, Roseiarcus, Saccobolus, Solitalea, Variibacter, Chamaedrilus, Cylindroiulus, Liochthonius, Tectocepheus, Abies, Cedrus, Cerastium, Helianthus, Picea"
"1903";"none";"genus";"D-";"H-";"Veigaia, Ecumenicus, Massisteria, Mesodorylaimus, Paraphysomonas, Peregrinia, Prodesmodora, Rhabditis, Saccamoeba, Tachysoma, Vermamoeba, Vexillifera, Vorticella, Zoothamnium, Aphelenchus, Friesea, Isotoma, Tylencholaimus, Herpetomonas, Romanomermis, Amphileptus, Anatonchus, Clarkus, Hemiamphisiella, Bryometopus, Euplotes, Pseudouroleptus, Amplimerlinius, Basiria, Bos, Itersonilia, Longidorus, Meloidogyne, Neopsilenchus, Tylenchus, Limonomyces, Rhizoctonia, Acyrthosiphon, Boudiera, Campanella, Craterocolla, Geothrix, Holophaga, Hyalorbilia, Hymenochaetopsis, Hymenoscyphus, Hyphodiscus, Ignavibacterium, Melastiza, Orbicula, Panorbis, Pholiota, Phycisphaera, Pyxidiophora, Serpula, Spirochaeta, Sporobolomyces, Stephensia, Stilbocrea, Turneriella, Acidothermus, Adhaeribacter, Agromyces, Amycolatopsis, Angustibacter, Arenimonas, Candidatus Microthrix, Candidatus Nephrothrix, Cellulomonas, Cenarchaeum, Chryseobacterium, Comamonas, Crocinitomix, Dactylosporangium, Dechloromonas, Demequina, Denitratisoma, Desulfotalea, Desulfovibrio, Desulfuromonas, Diaphorobacter, Dongia, Dyadobacter, Erythrobacter, Ferribacterium, Flexibacter, Fluviicola, Geoalkalibacter, Geodermatophilus, Geothermobacter, Herminiimonas, Ilumatobacter, Kineococcus, Kofleria, Leifsonia, Lentzea, Levilinea, Lishizhenia, Luteimonas, Magnetospirillum, Martelella, Methanomassiliicoccus, Methylobacillus, Micromonospora, Microvirga, Moorella, Mycoplana, Nannocystis, Nitratireductor, Nocardia, Nonomuraea, Panacibacter, Panaeolus, Pasteuria, Phaselicystis, Polaromonas, Polyangium, Propionivibrio, Rhodococcus, Rhodopseudomonas, Saccharophagus, Skermanella, Sphaerobacter, Sphingobacterium, Sphingorhabdus, Stenotrophomonas, Sterolibacterium, Thermaerobacter, Thermoanaerobacter, Thermomonas, Thiobacillus, Thiohalospira, Thiorhodospira, Undibacterium, Verrucomicrobium, Vulgatibacter, Henlea, Marionina, Pilogalumna, Chlamydomonas, Chlorella, Chlorellidium, Coelastrella, Dinobryon, Palmellopsis, Persicaria, Pleurochloris, Polygonum, Tribonema, Vigna";"Agriotes, Athous, Helicotylenchus, Heterodera, Merlinius, Phoma, Pratylenchoides, Acrobeles, Acrobeloides, Allovahlkampfia, Amphidelus, Bicosoeca, Blepharisma, Codosiga, Corythion, Diaphanoeca, Homalogastra, Meseres, Metateratocephalus, Notholca, Obertrumia, Oxytricha, Prismatolaimus, Pseudoplatynematum, Rhabdolaimus, Siluania, Teratocephalus, Vorticellides, Folsomia, Podura, Uropoda, Diplogasteroides, Fuscheria, Neourostylopsis, Nygolaimus, Metarhizium, Trypanosoma, Chytridium, Archaeospora, Paraglomus, Scutellospora, Protomyces, Synchytrium, Gaeumannomyces, Auxarthron, Catenaria, Cryptococcus, Dissophora, Endochytrium, Geastrum, Gongronella, Granulicella, Halteromyces, Hodophilus, Mucor, Occallatibacter, Preussia, Sistotrema, Terracidiphilus, Acidisphaera, Acinetobacter, Actinocrinis, Actinomadura, Aphodius, Bellilinea, Blastochloris, Brevundimonas, Clavibacter, Dyella, Humibacter, Janthinobacterium, Jatrophihabitans, Ktedonobacter, Kutzneria, Kuzuhaea, Piptocephalis, Rhodanobacter, Roseiarcus, Streptacidiphilus, Chamaedrilus, Liochthonius, Peyerimhoffia, Tipula, Abies, Canavalia, Cedrus, Cerastium, Conopodium, Gliricola, Picea, Prototheca, Pseudochilodonopsis, Ranunculus, Salvia, Veronica"
"1904";"none";"genus";"D-";"H+";"Ecumenicus, Epistylis, Lacrymaria, Leptopharynx, Mesodorylaimus, Nolandella, Saccamoeba, Tachysoma, Vermamoeba, Vexillifera, Zoothamnium, Friesea, Isotoma, Sminthurus, Tylencholaimus, Herpetomonas, Romanomermis, Amphileptus, Anatonchus, Hemiamphisiella, Pseudouroleptus, Amplimerlinius, Basiria, Bos, Itersonilia, Longidorus, Meloidogyne, Waitea, Acyrthosiphon, Aphanomyces, Boudiera, Campanella, Craterocolla, Filobasidium, Geothrix, Holophaga, Hyalorbilia, Hymenoscyphus, Hyphodiscus, Ignavibacterium, Melastiza, Panorbis, Pholiota, Serpula, Spirochaeta, Sporobolomyces, Stephensia, Turneriella, Yarrowia, Acidothermus, Actinomyces, Aeromicrobium, Agromyces, Amycolatopsis, Angustibacter, Arthrobacter, Blastococcus, Cenarchaeum, Chryseobacterium, Clostridium, Comamonas, Crocinitomix, Dechloromonas, Derxia, Desulfovibrio, Desulfuromonas, Diaphorobacter, Dongia, Erythrobacter, Fluviicola, Frigoribacterium, Geodermatophilus, Geothermobacter, Ilumatobacter, Kineosporia, Kribbella, Lentzea, Levilinea, Luteimonas, Magnetospirillum, Martelella, Methylobacillus, Methylobacterium, Methylocella, Micromonospora, Microvirga, Nannocystis, Nitrosopumilus, Nocardia, Nonomuraea, Paenibacillus, Pasteuria, Paucimonas, Phaselicystis, Polaromonas, Porphyrobacter, Propionivibrio, Rhodococcus, Rhodopseudomonas, Sinomonas, Skermanella, Sphaerobacter, Sphingobacterium, Sphingorhabdus, Sphingosinicella, Sporichthya, Stenotrophomonas, Thermaerobacter, Thermoanaerobacter, Thiohalospira, Thiorhodospira, Undibacterium, Verrucomicrobium, Pilogalumna, Chlamydomonas, Chlorella, Chlorellidium, Coelastrella, Hantzschia, Jaagiella, Palmellopsis, Persicaria, Polygonum, Taraxacum, Tribonema";"Agriotes, Merlinius, Otiorhynchus, Phoma, Pratylenchoides, Acrobeles, Acrobeloides, Allovahlkampfia, Bicosoeca, Blepharisma, Diaphanoeca, Homalogastra, Metateratocephalus, Notholca, Oxytricha, Prismatolaimus, Prorodon, Pseudoplatynematum, Rhabdolaimus, Siluania, Teratocephalus, Tetrahymena, Folsomia, Isotomiella, Podura, Pseudaphelenchus, Sminthurinus, Tetracanthella, Uropoda, Diplogasteroides, Monilicaryon, Neourostylopsis, Nygolaimus, Beauveria, Metarhizium, Platyreta, Cystobasidium, Ambispora, Archaeospora, Cetraspora, Claroideoglomus, Diversispora, Glomus, Paraglomus, Scutellospora, Protomyces, Synchytrium, Stigmalychus, Archaeorhizomyces, Asterostroma, Auxarthron, Basidiobolus, Bisporella, Catenaria, Cryptococcus, Dissophora, Endochytrium, Geastrum, Gongronella, Halteromyces, Hodophilus, Mucor, Orbilia, Preussia, Ramariopsis, Scytinostroma, Sistotrema, Spizellomyces, Terracidiphilus, Acidisphaera, Actinocrinis, Actinomadura, Aquihabitans, Bacteriovorax, Bellilinea, Blastochloris, Dyella, Iodophanus, Ktedonobacter, Kutzneria, Kuzuhaea, Ochrobactrum, Piptocephalis, Rhodanobacter, Rhodoferax, Roseiarcus, Variibacter, Chamaedrilus, Liochthonius, Abies, Canavalia, Cerastium, Conopodium, Noctua, Pentapharsodinium, Picea, Prototheca, Pseudochilodonopsis, Ranunculus, Stellaria, Veronica"
